artist_name,album_name,track_name,search_term,track_uri,t_uri,genres,filtered_genres,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Gospel Gangstaz,Do or Die,Do or Die,"Gospel Gangstaz, Do or Die",spotify:track:79ay0DqvhfDlh9tzhVFto3,79ay0DqvhfDlh9tzhVFto3,christian hip hop|gospel rap,hip hop|rap,spotify:track:79ay0DqvhfDlh9tzhVFto3,0.0693,0.832,0.583,1.77E-06,0.0473,-5.667,0.197,0.416617022,0.441
Centory,BRAVO Hits 08 CD 1,Point Of No Return,"Centory, Point Of No Return",spotify:track:7wFu8IQ8jtfFYlwj9pPBQ1,7wFu8IQ8jtfFYlwj9pPBQ1,bubblegum dance|eurodance|hip house,dance,spotify:track:7wFu8IQ8jtfFYlwj9pPBQ1,0.00128,0.592,0.906,0.000135,0.213,-6.995,0.0593,0.635440509,0.255
Baskiria,A Hungarian Tribute To Burzum - Life Has New Meaning,War,"Baskiria, War",spotify:track:7gCpFhLUhOaE3FT1Ap94YH,7gCpFhLUhOaE3FT1Ap94YH,hungarian black metal,metal,spotify:track:7gCpFhLUhOaE3FT1Ap94YH,6.77E-06,0.226,0.979,0.89,0.129,-6.317,0.144,0.452298513,0.264
Herman Brood,My Way: The Hits,When I Get Home,"Herman Brood, When I Get Home",spotify:track:2FpzNTKIYeguorD3ytKzQs,2FpzNTKIYeguorD3ytKzQs,dutch indie|dutch rock|nederpop,pop|rock|indie,spotify:track:2FpzNTKIYeguorD3ytKzQs,0.907,0.607,0.14,1.70E-06,0.107,-15.936,0.31,0.522711901,0.57
Monster Rally,"Color Sky 7\"",Holiday
4536403,1286767553,CA,24,m,78278,Monster Rally,Color Sky 7\""""",Holiday,"Monster Rally, Holiday",spotify:track:2CTWtMB6hi9Ew3ydmavgX9,2CTWtMB6hi9Ew3ydmavgX9,chillwave|indie dream pop|indietronica,pop|indie,spotify:track:2CTWtMB6hi9Ew3ydmavgX9,0.634,0.408,0.653,0.86,0.136,-12.22,0.0279,0.511061442,0.391
Van Morrison,Tell Me Something,One Of These Days,"Van Morrison, One Of These Days",spotify:track:4RUt2kCDt51fAqg0QcBP8S,4RUt2kCDt51fAqg0QcBP8S,classic rock|folk|folk rock|mellow gold|rock|roots rock|singer-songwriter|soft rock,rock|folk,spotify:track:4RUt2kCDt51fAqg0QcBP8S,0.708,0.669,0.399,0.000168,0.133,-8.623,0.0328,0.45450677,0.544
Eternal,Greatest Hits Collection 90's (CD 6),Stay,"Eternal, Stay",spotify:track:3DCAjSZiLK127tGL0URVGE,3DCAjSZiLK127tGL0URVGE,bubblegum dance|dance pop|europop|girl group|new wave pop,pop|dance,spotify:track:3DCAjSZiLK127tGL0URVGE,0.00411,0.591,0.727,1.53E-06,0.0289,-8.058,0.054,0.441328896,0.846
Minnie Riperton,LateNightTales,Reasons,"Minnie Riperton, Reasons",spotify:track:1R6D7X8mDFoFJN7pQYu4Dn,1R6D7X8mDFoFJN7pQYu4Dn,classic soul|disco|funk|jazz funk|motown|neo soul|quiet storm|soul,jazz|soul|disco,spotify:track:1R6D7X8mDFoFJN7pQYu4Dn,0.589,0.508,0.755,0,0.64,-7.906,0.0998,0.376846,0.813
Asheru & Blue Black,48 Months,Better,"Asheru & Blue Black, Better",spotify:track:1GWtmJcqrUgqrzOwo8jpQx,1GWtmJcqrUgqrzOwo8jpQx,jazz rap,jazz|rap,spotify:track:1GWtmJcqrUgqrzOwo8jpQx,0.00434,0.847,0.596,0.835,0.0955,-13.527,0.0757,0.423635965,0.38
Roy Orbison,The Soul of Rock and Roll,Mama,"Roy Orbison, Mama",spotify:track:2BtBFfJp78YJ7BFVz3IAWZ,2BtBFfJp78YJ7BFVz3IAWZ,adult standards|brill building pop|bubblegum pop|classic rock|folk rock|mellow gold|rock|rock-and-roll|rockabilly,pop|rock|folk,spotify:track:2BtBFfJp78YJ7BFVz3IAWZ,0.897,0.38,0.159,0.0137,0.113,-15.549,0.0279,0.365338876,0.243
